RemoteRepoName,LocalRepoName,RemoteRepoURL,TargetDirectory
vs.ide,ide,https://github.com/ATECoder/vs.ide.git,lib\vs\core
dn.iot.tcp,tcp,https://github.com/ATECoder/dn.iot.tcp.git,lib\vs\iot
